University|Football stadium|Capacity|Logo
Baylor|McLane Stadium|45140|https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Baylor_Athletics_logo.svg/150px-Baylor_Athletics_logo.svg.png
Iowa State|Jack Trice Stadium|61500|https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Iowa_State_Cyclones_logo.svg/200px-Iowa_State_Cyclones_logo.svg.png
Kansas|David Booth Kansas Memorial Stadium|47000|https://upload.wikimedia.org/wikipedia/en/thumb/f/f4/Kansas_Jayhawks_logo.svg/200px-Kansas_Jayhawks_logo.svg.png
Kansas State|Bill Snyder Family Football Stadium|50000|https://upload.wikimedia.org/wikipedia/en/thumb/e/e5/Kansas_State_Wildcats_logo.svg/200px-Kansas_State_Wildcats_logo.svg.png
Oklahoma|Gaylord Family Oklahoma Memorial Stadium|80126|https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Oklahoma_Sooners_logo.svg/150px-Oklahoma_Sooners_logo.svg.png
Oklahoma State|Boone Pickens Stadium|55509|https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Oklahoma_State_University_system_logo.svg/200px-Oklahoma_State_University_system_logo.svg.png
Texas|Darrell K Royal–Texas Memorial Stadium|100119|https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Texas_Longhorns_logo.svg/150px-Texas_Longhorns_logo.svg.png
TCU|Amon G. Carter Stadium|47000|https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/TCU_Horned_Frogs_logo.svg/200px-TCU_Horned_Frogs_logo.svg.png
Texas Tech|Jones AT&T Stadium|60862|https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Texas_Tech_Athletics_logo.svg/150px-Texas_Tech_Athletics_logo.svg.png
West Virginia|Mountaineer Field at Milan Puskar Stadium|60000|https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/West_Virginia_Mountaineers_logo.svg/175px-West_Virginia_Mountaineers_logo.svg.png
